full_name,a,e,i,H,diameter,albedo,class,first_obs
240775 (2005 SM36),3.093,0.1704,0.94,15.94,3.628,0.053,MBA,1999-06-22
210997 Guenat (2001 XA32),2.157,0.1075,4.92,17.12,1.939,0.074,MBA,2001-11-20
278411 (2007 RX42),3.197,0.0942,22.16,15.54,4.767,0.071,MBA,2007-09-09
   500 Selinur (A903 BJ),2.613,0.1443,9.78,9.51,40.828,0.202,MBA,1903-01-16
313622 (2003 QJ111),2.394,0.2501,5.97,17.29,2.219,0.052,MBA,2003-08-31
103670 (2000 CD52),3.206,0.1368,1.52,14.87,5.406,0.096,OMB,1991-09-13
       (2014 TJ64),2.612,0.604,14.77,20.62,0.519,0.02,AMO,2014-10-01
245077 (2004 JV1),3.104,0.1144,13.24,15.07,4.963,0.086,MBA,2000-09-26
 22206 (6735 P-L),3.133,0.1491,5.14,14.71,6.198,0.08,MBA,1960-09-24
240722 (2005 GS160),3.151,0.0721,16.35,15.63,4.873,0.039,MBA,2002-10-04
116839 (2004 FO39),3.017,0.2256,18.04,14.97,5.635,0.078,MBA,1999-06-12
289186 (2004 VG78),3.184,0.194,27.47,15.18,5.333,0.043,MBA,1999-12-06
204774 (2006 KH39),3.007,0.2665,25.14,15.12,6.915,0.037,MBA,2001-06-16
237363 (1993 HV4),3.163,0.0407,9.57,15.74,4.607,0.053,MBA,1993-03-25
418879 (2008 YN28),3.015,0.1932,11.41,16.39,4.409,0.019,MBA,2008-10-01
315035 (2007 CL19),3.124,0.1605,9.17,15.85,4.539,0.049,MBA,2005-09-01
 62969 (2000 VN49),3.096,0.1819,0.62,14.83,6.252,0.065,MBA,1999-07-20
192806 (1999 VR45),2.691,0.2552,4.49,15.53,5.325,0.033,MBA,1999-10-03
241565 (1981 EU45),2.556,0.1811,16.37,15.87,4.131,0.045,MBA,1981-03-01
283896 (2004 CL20),3.095,0.1974,22.92,15.1,7.858,0.03,MBA,2001-11-11
197060 (2003 UK154),3.048,0.1192,10.75,15.3,3.303,0.162,MBA,2000-02-06
139284 (2001 JM6),2.404,0.1687,5.19,15.76,3.114,0.096,MBA,2001-02-02
167257 (2003 UG118),2.723,0.0526,4.32,15.74,3.119,0.138,MBA,2001-03-18
168332 (1993 TC28),2.783,0.0722,5.05,16.09,3.694,0.056,MBA,1993-10-09
127263 (2002 JJ49),3.109,0.2493,10.66,14.41,8.449,0.043,MBA,1981-09-07
   835 Olivia (A916 SH),3.221,0.0878,3.7,11.56,30.418,0.025,OMB,1916-09-23
       (2010 HV80),2.597,0.2047,3.6,18.08,1.514,0.085,MBA,2010-04-11
114786 (2003 MR6),3.154,0.253,12.85,14.39,9.439,0.053,MBA,1997-06-28
235289 (2003 UJ49),2.579,0.2576,12.73,16.27,3.705,0.062,MBA,2003-09-30
  6879 Hyogo (1994 TC15),3.127,0.1684,8.55,12.72,18.772,0.047,MBA,1952-01-31
338674 (2003 SN429),2.761,0.1773,8.48,16.72,3.377,0.035,MBA,2003-09-25
346659 (2008 YZ7),2.565,0.2597,8.77,16.45,2.972,0.053,MBA,2004-12-20
104748 (2000 HO12),2.965,0.143,1.12,15.57,4.226,0.062,MBA,1991-09-07
 90567 (2004 GC9),2.942,0.1089,11.12,14.85,4.297,0.152,MBA,1999-05-08
236995 (2008 RW15),3.144,0.2206,9.41,15.91,6.149,0.025,MBA,1996-06-22
 27545 (2000 JX16),2.796,0.1601,9.96,13.41,5.483,0.338,MBA,1997-11-30
 53090 (1998 YS7),2.3,0.2654,23.19,13.93,4.883,0.17,MBA,1994-09-04
 59477 (1999 HP3),3.052,0.0771,10.28,13.98,9.165,0.076,MBA,1998-01-22
  8453 Flaviataldini (1981 EQ),3.218,0.1325,10.68,13.18,16.296,0.042,OMB,1954-08-08
 27555 (2000 JT43),3.076,0.0598,10.54,14.15,9.054,0.094,MBA,1997-10-01
  3784 Chopin (1986 UL1),3.13,0.163,13.53,11.57,29.346,0.082,MBA,1956-03-15
 23736 (1998 HO148),2.138,0.1044,2.29,15.31,2.156,0.24,MBA,1983-10-08
 47761 (2000 DR100),3.045,0.1311,9.08,14.1,11.369,0.05,MBA,1995-02-25
 17501 Tetsuro (1992 FG),2.265,0.1522,6.15,14.21,5.529,0.142,MBA,1986-10-02
193514 (2000 YA55),2.702,0.0932,8.45,15.52,2.609,0.197,MBA,2000-12-21
 97316 (1999 XC212),3.007,0.1473,11.26,14.8,7.897,0.018,MBA,1998-09-14
       (2010 GO57),3.205,0.2731,25.89,17.32,2.132,0.074,OMB,2010-04-10
 97665 (2000 FL32),3.135,0.0881,3.2,14.47,5.829,0.131,MBA,1991-10-04
350466 (1998 SR68),2.74,0.3678,8.73,17.66,1.621,0.074,MBA,1998-08-27
101090 (1998 RG33),2.789,0.2894,8.19,15.86,6.147,0.035,MBA,1998-09-14
378377 (2007 PY29),3.105,0.1413,28.34,15.57,5.03,0.048,MBA,2002-10-08
  7237 Vickyhamilton (1988 VH),2.58,0.1687,12.27,12.95,7.496,0.181,MBA,1955-11-19
248392 (2005 SY34),3.144,0.1281,12.19,15.42,5.558,0.052,MBA,2000-12-19
 16452 Goldfinger (1989 SE8),2.413,0.0754,6.28,13.69,4.47,0.321,MBA,1977-07-21
  1755 Lorbach (1936 VD),3.094,0.0415,10.68,10.79,24.878,0.14,MBA,1924-08-06
287887 (2003 SQ331),3.022,0.0353,9.86,16.54,3.765,0.034,MBA,2001-05-24
184470 (2005 NU99),2.309,0.1705,1.45,17.33,1.884,0.055,MBA,1993-01-26
171532 (1999 JB134),3.1,0.1531,10.91,15.14,4.792,0.053,MBA,1996-10-17
 43395 (2000 WE88),2.661,0.1155,16.18,14.59,3.476,0.279,MBA,1998-05-24
242620 (2005 JV175),2.613,0.166,13.71,16.22,1.705,0.221,MBA,2005-04-13
167363 (2003 WH46),2.742,0.0215,6.42,15.64,4.379,0.058,MBA,1998-09-24
232644 (2003 UR355),2.965,0.1495,6.59,16.43,2.676,0.082,MBA,2003-09-28
225989 (2002 CE259),2.544,0.2336,6.09,16.1,1.751,0.302,MBA,2002-01-11
 79390 (1997 GK14),2.389,0.288,13.41,14.78,2.917,0.361,MBA,1997-03-11
 13380 Yamamohammed (1998 WQ11),2.216,0.1549,3.24,14.47,3.699,0.325,MBA,1988-11-06
  6994 (1995 BV4),3.05,0.028,0.77,13.21,6.37,0.397,MBA,1950-08-14
231805 (2000 EQ115),3.185,0.0189,10.9,15.59,4.923,0.055,MBA,2000-03-03
516798 (2010 HV103),2.57,0.1397,9.68,17.95,1.872,0.038,MBA,2003-10-23
       (2010 KY57),2.718,0.2756,14.73,18.2,1.495,0.045,MBA,2010-05-21
  7482 (1994 PC1),1.349,0.3294,33.47,16.66,1.052,0.277,APO,1974-09-22
222273 (2000 RQ79),2.66,0.2336,12.21,15.92,3.903,0.08,MBA,2000-08-07
 85581 (1998 DZ20),2.561,0.1623,13.42,13.95,4.751,0.236,MBA,1994-03-09
113691 (2002 TG120),2.643,0.1513,12.9,15.4,2.759,0.232,MBA,2001-05-22
233713 (2008 SG107),2.435,0.1161,16.56,16.43,3.401,0.051,MBA,1996-06-17
 14720 (2000 CQ85),2.632,0.1589,12.45,12.28,8.508,0.192,MBA,1980-09-08
248412 (2005 SE165),2.915,0.0683,16.45,16.04,4.456,0.035,MBA,2003-03-30
 89751 (2002 AM26),2.689,0.089,15.13,15.24,3.235,0.203,MBA,2000-08-28
 60172 (1999 UY48),3.152,0.0708,15.6,14.0,7.465,0.105,MBA,1991-04-09
385402 (2002 WZ2),2.461,0.8844,51.27,17.17,1.597,0.11,APO,2002-11-22
116015 (2003 WE83),2.694,0.1052,13.91,15.62,2.537,0.208,MBA,1996-02-15
248288 (2005 JG138),2.681,0.2253,6.59,16.8,1.502,0.216,MBA,2001-07-27
 51538 (2001 FA143),2.758,0.1555,10.5,14.94,5.424,0.095,MBA,1997-06-08
493212 (2014 UJ48),2.974,0.142,3.58,17.04,3.399,0.067,MBA,2002-02-15
  3111 Misuzu (1977 DX8),2.224,0.1607,2.01,13.74,4.56,0.329,MBA,1952-09-15
650111 (2011 WG65),3.158,0.3527,23.51,15.97,4.257,0.043,MBA,2005-11-20
  3310 Patsy (1931 TS2),3.009,0.0593,11.1,11.02,24.032,0.176,MBA,1930-06-23
170884 (2004 RP66),3.153,0.0575,17.48,14.63,6.471,0.08,MBA,1996-03-23
132509 (2002 JU41),2.444,0.1872,9.93,16.2,3.435,0.079,MBA,2000-09-26
 60611 (2000 ED185),3.082,0.0703,12.36,14.46,5.117,0.107,MBA,1992-11-25
 78502 (2002 RV80),2.774,0.1355,8.85,14.87,3.272,0.261,MBA,1991-02-14
176541 (2002 AR52),3.172,0.0573,9.2,15.0,7.476,0.046,MBA,1960-09-24
228632 (2002 CQ251),2.549,0.1118,13.95,16.09,1.861,0.268,MBA,2002-01-09
247020 (1999 XM108),3.141,0.1794,9.35,15.57,5.289,0.04,MBA,1996-04-13
122137 (2000 JL38),2.31,0.1211,3.95,16.98,2.547,0.057,MBA,2000-04-29
281141 (2007 DO12),2.252,0.0953,3.94,17.66,1.7,0.073,MBA,1992-11-18
       (2010 DX88),3.244,0.1859,15.9,16.41,2.702,0.08,OMB,2008-07-01
114100 (2002 VG41),2.62,0.1693,3.54,15.54,2.039,0.294,MBA,2000-03-03
321067 (2008 SJ56),5.23,0.0607,17.9,13.61,10.091,0.069,TJN,2002-04-05
 38426 (1999 RT230),3.048,0.1548,14.91,13.82,6.32,0.161,MBA,1992-04-24
 77207 (2001 FE21),2.916,0.1859,10.12,14.67,6.47,0.035,MBA,1998-12-22
 23718 Horgos (1998 GO10),2.567,0.1897,1.44,14.97,2.944,0.269,MBA,1995-11-18
177092 (2003 FD74),3.227,0.1799,15.45,15.37,5.94,0.042,OMB,2000-11-02
152331 (2005 UW29),3.39,0.119,17.78,14.79,6.808,0.06,OMB,1999-10-13
429262 (2010 CZ1),2.807,0.1579,8.78,16.65,2.258,0.079,MBA,2008-10-09
177919 (2005 SN190),3.165,0.0762,9.57,14.99,6.689,0.052,MBA,2002-02-10
248969 (2007 BJ36),2.327,0.165,9.19,17.01,1.427,0.181,MBA,2002-12-06
 30581 (2001 PY2),2.645,0.1062,9.96,13.67,7.429,0.086,MBA,1976-12-20
126374 (2002 AV190),2.761,0.1457,13.47,14.88,3.702,0.246,MBA,1995-10-19
271632 (2004 PK70),2.473,0.188,10.08,16.58,3.093,0.051,MBA,1996-07-23
 14650 (1998 YD3),2.287,0.1374,3.16,14.25,3.484,0.366,MBA,1982-01-20
468084 (2013 TN62),2.57,0.1804,9.94,17.52,2.464,0.139,MBA,2005-10-28
       (2015 VU121),2.78,0.281,21.19,16.55,1.942,0.051,MBA,2002-01-13
245666 (2006 AO64),2.979,0.0604,7.74,16.05,3.687,0.057,MBA,2003-07-25
  3633 Mira (1980 EE2),2.311,0.1029,3.31,13.92,9.538,0.077,MBA,1953-09-07
269408 (2009 RD46),3.149,0.2544,15.77,15.29,2.683,0.224,MBA,2003-09-20
474108 (2016 LS25),3.151,0.1223,21.24,15.86,3.559,0.029,MBA,2010-02-04
 18214 (4615 P-L),3.187,0.1824,2.54,14.43,8.827,0.052,MBA,1960-09-24
 63529 (2001 PY19),2.863,0.3249,8.34,14.69,7.857,0.055,MBA,1999-01-26
  7378 Herbertpalme (1981 EK18),3.151,0.1192,1.31,13.24,14.827,0.056,MBA,1953-04-15
  6166 Univsima (1978 SP4),2.993,0.0855,10.84,12.44,12.049,0.176,MBA,1970-03-07
 99405 (2002 AJ62),2.47,0.1329,1.6,15.82,1.795,0.456,MBA,2000-10-02
240434 (2003 WV129),2.801,0.0678,5.18,16.11,3.74,0.06,MBA,2001-05-14
169669 (2002 JK86),2.624,0.177,2.0,16.84,2.827,0.042,MBA,2002-04-14
  1158 Luda (1929 QF),2.564,0.1136,14.82,10.98,18.636,0.221,MBA,1929-08-31
 71227 (1999 YO15),2.65,0.0652,2.74,15.59,3.041,0.104,MBA,1994-09-05
 56773 (2000 OO35),2.999,0.121,11.66,14.07,5.928,0.2,MBA,1999-06-14
175254 (2005 JO51),3.11,0.1313,6.1,15.8,4.086,0.042,MBA,2001-10-24
131451 (2001 QD174),5.103,0.0789,27.25,12.6,21.208,0.052,TJN,1984-03-29
106078 (2000 SK347),3.092,0.2086,16.21,14.43,4.325,0.216,MBA,1994-08-10
 23921 (1998 SH135),3.114,0.0515,10.73,13.68,12.339,0.056,MBA,1991-06-16
234347 (2001 FQ126),2.742,0.1629,9.15,16.38,3.552,0.051,MBA,2001-03-03
194875 (2002 AJ57),2.451,0.1149,3.86,16.61,2.952,0.067,MBA,2000-09-03
 71855 Incamajorca (2000 UF110),2.533,0.0811,11.61,15.62,2.223,0.206,MBA,1995-06-24
       (2014 QM10),2.626,0.1556,11.02,17.14,1.662,0.092,MBA,2006-11-14
145769 (1997 SR14),2.713,0.1412,5.3,16.23,3.213,0.062,MBA,1997-09-28
 23270 Kellerman (2000 YN62),2.458,0.1798,3.85,15.32,5.513,0.037,MBA,1982-02-20
123360 (2000 WN26),2.614,0.1458,15.29,15.82,1.916,0.304,MBA,2000-09-30
123612 (2000 YL16),3.13,0.1268,6.43,15.18,6.306,0.053,MBA,1999-10-16
301757 (2010 JW30),2.767,0.2331,11.71,16.35,1.866,0.214,MBA,1994-11-30
121232 Zerin (1999 RK35),2.736,0.1097,11.86,15.07,3.054,0.228,MBA,1999-09-11
193731 (2001 FY162),2.653,0.2311,10.23,15.83,3.656,0.076,MBA,1999-10-07
       (2010 KY53),2.381,0.2168,11.67,18.16,2.023,0.082,MBA,2009-02-01
138654 (2000 RP77),3.146,0.2071,13.78,15.02,7.722,0.039,MBA,2000-09-08
 72812 (2001 GB8),3.067,0.0271,11.33,14.32,5.247,0.177,MBA,1998-11-11
269657 (1995 FP3),3.007,0.1089,5.45,16.38,2.964,0.067,MBA,1992-09-23
464179 (2015 AV178),3.08,0.1639,18.46,15.8,4.707,0.139,MBA,2004-01-15
243691 (1999 YK10),2.563,0.2028,4.81,16.91,2.496,0.054,MBA,1999-12-27
480423 (2015 KZ113),3.143,0.2126,9.97,16.68,2.894,0.053,MBA,2009-04-19
 15447 (1998 XV4),2.62,0.1053,2.29,14.15,4.379,0.278,MBA,1993-10-20
       (2010 MK15),2.611,0.1171,13.17,17.18,2.611,0.049,MBA,2000-12-21
222076 (1999 KM2),2.645,0.0794,12.32,15.99,3.534,0.074,MBA,1999-05-13
 73348 (2002 JZ129),2.598,0.0751,7.41,15.5,4.584,0.064,MBA,1999-10-04
 15243 (1989 TU1),2.666,0.2894,6.71,13.77,9.654,0.091,MBA,1989-10-09
 22606 (1998 HK148),2.304,0.1634,3.66,15.37,5.398,0.05,MBA,1991-05-13
109291 (2001 QN123),3.069,0.0219,11.79,15.0,3.608,0.179,MBA,2000-05-27
113775 (2002 TM184),3.091,0.0983,9.63,14.9,3.916,0.219,MBA,1991-09-15
523747 (2014 US192),2.205,0.7584,14.65,18.82,0.873,0.077,APO,2004-09-24
 19786 (2000 QR104),3.019,0.0216,10.19,13.69,6.366,0.19,MBA,1990-11-18
323179 (2003 HR32),1.748,0.6869,8.28,18.12,1.17,0.068,APO,2003-03-23
  2436 Hatshepsut (6066 P-L),3.18,0.0948,4.15,12.4,18.813,0.066,MBA,1960-09-24
  8749 Beatles (1998 GJ10),2.254,0.1882,3.36,14.36,3.642,0.305,MBA,1984-01-26
157601 (2005 WG3),2.629,0.1667,8.61,15.69,2.452,0.203,MBA,1998-02-26
 21653 Davidwang (1999 OH3),2.785,0.2146,18.88,13.82,8.821,0.069,MBA,1993-05-30
 88042 (2000 UT103),2.726,0.2552,4.69,15.44,4.168,0.093,MBA,1986-09-07
   672 Astarte (A908 SH),2.555,0.1364,11.11,11.61,35.584,0.033,MBA,1907-04-04
238401 (2004 EG18),3.171,0.173,17.58,15.51,2.543,0.207,MBA,1993-06-13
 53465 (1999 XY222),2.282,0.0491,5.37,15.75,1.977,0.313,MBA,1990-03-02
207497 (2006 HO90),2.337,0.0953,2.35,17.27,1.964,0.066,MBA,2002-03-12
 70587 (1999 TF170),2.686,0.0495,5.34,15.23,4.444,0.108,MBA,1999-10-02
 71518 (2000 CP62),3.02,0.1834,6.16,14.58,5.103,0.129,MBA,1998-11-11
207170 (2005 CO58),2.581,0.1746,4.51,16.66,2.851,0.055,MBA,1997-04-11
 16886 (1998 BC26),2.413,0.1804,8.71,13.19,6.069,0.282,MBA,1974-12-19
105599 (2000 RL91),2.22,0.1814,2.85,16.22,1.32,0.532,MBA,1997-11-29
  2142 Landau (1972 GA),3.166,0.1167,0.66,12.21,20.134,0.05,MBA,1951-08-06
       (2010 BV61),3.159,0.2339,15.47,17.24,2.109,0.076,MBA,2009-10-11
107571 (2001 DM90),2.853,0.2367,9.74,14.83,5.663,0.087,MBA,2001-02-22
 78989 (2003 UF95),3.106,0.0734,10.11,14.49,4.625,0.119,MBA,1998-12-17
  4565 Grossman (1981 EZ17),2.57,0.1263,14.72,13.12,7.36,0.271,MBA,1954-11-24
 57185 (2001 QB30),2.769,0.2168,7.47,14.65,6.616,0.07,MBA,1964-10-08
106593 (2000 WO108),3.176,0.143,5.97,14.84,6.568,0.065,MBA,2000-11-03
 69003 (2002 TK196),2.652,0.1472,31.89,14.07,4.028,0.173,MBA,1989-11-04
116021 (2003 WG86),3.148,0.1002,15.86,15.01,7.411,0.032,MBA,2000-03-11
 25714 Aprillee (2000 AW160),2.924,0.0827,6.1,14.64,5.301,0.131,MBA,1996-05-10
       (2010 PQ62),2.72,0.2863,8.57,17.82,1.613,0.074,MBA,2010-05-29
204148 (2003 YF111),2.763,0.0103,6.23,16.26,3.802,0.049,MBA,1996-04-21
279257 (2009 VB52),3.057,0.1861,7.7,16.49,3.685,0.039,MBA,1998-10-20
 14012 Amedee (1993 XG),2.868,0.1248,13.82,12.5,10.772,0.201,MBA,1993-12-06
 65980 (1998 HB107),3.027,0.0766,11.65,14.8,4.314,0.125,MBA,1998-03-24
 15237 (1988 RL6),2.393,0.1477,7.32,14.57,2.557,0.47,MBA,1951-08-11
277262 (2005 SB26),2.438,0.0674,7.66,16.89,2.403,0.07,MBA,2001-09-16
121441 (1999 TA185),3.076,0.1275,12.47,14.9,5.218,0.094,MBA,1999-09-08
 68684 (2002 CC142),2.328,0.1564,23.14,15.36,3.135,0.197,MBA,1991-02-05
161480 (2004 GX38),2.577,0.1442,4.95,15.68,2.332,0.27,MBA,1998-12-17
 19558 (1999 JK80),2.407,0.117,12.2,14.11,6.332,0.069,MBA,1950-05-10
139727 (2001 QD250),2.722,0.1914,14.21,14.86,3.599,0.216,MBA,2001-08-19
414737 (2010 AU76),3.183,0.2638,26.45,15.59,4.507,0.055,MBA,2003-12-19
 43839 (1993 FC60),2.617,0.2782,12.39,15.59,2.412,0.252,MBA,1993-03-19
 14447 Hosakakanai (1992 VL),3.012,0.3051,9.16,13.58,7.92,0.093,MBA,1992-10-26
151382 (2002 EY50),3.143,0.1699,11.48,15.34,6.005,0.041,MBA,1999-10-12
 21314 (1996 XG15),2.409,0.1302,3.29,15.42,4.945,0.042,MBA,1995-10-23
 75618 (2000 AM42),2.435,0.2268,23.03,14.38,2.943,0.354,MBA,1998-11-21
430040 (2013 RH83),2.978,0.1586,14.87,16.75,3.46,0.123,MBA,2000-02-12
  7752 Otauchunokai (1988 US),2.299,0.1532,3.8,13.61,5.435,0.314,MBA,1950-12-09
 15329 Sabena (1993 SN7),3.135,0.1223,1.22,14.09,7.06,0.107,MBA,1990-03-07
 89520 (2001 XS63),2.595,0.1889,3.08,15.26,3.03,0.192,MBA,1977-01-21
179936 (2002 VY81),2.608,0.1998,15.22,15.87,2.252,0.241,MBA,1998-12-17
  4474 Proust (1981 QZ2),3.173,0.176,2.06,13.09,13.472,0.107,MBA,1981-08-24
346885 (2009 JN17),5.21,0.1459,22.51,13.01,14.274,0.072,TJN,2001-12-13
110909 (2001 UZ123),2.648,0.2166,12.25,15.84,4.397,0.058,MBA,1997-11-29
 19546 (1999 JN34),2.408,0.2657,8.76,14.81,3.657,0.159,MBA,1977-08-18
144590 (2004 FM41),2.454,0.2454,8.9,16.29,2.727,0.104,MBA,2000-03-09
  8143 Nezval (1982 VN),2.432,0.2009,2.98,14.0,3.802,0.405,MBA,1982-10-21
202339 (2005 EB112),3.19,0.044,15.89,15.24,5.633,0.051,MBA,1996-09-22
 82612 (2001 OD101),2.757,0.0779,4.49,14.96,6.135,0.074,MBA,1999-01-14
155162 (2005 UZ104),2.432,0.0928,5.95,16.29,3.701,0.062,MBA,2000-05-27
 88770 (2001 ST72),2.229,0.1987,6.14,16.26,1.676,0.33,MBA,2000-03-29
105407 (2000 QE153),2.985,0.1318,10.82,14.42,9.446,0.05,MBA,2000-07-07
  4323 Hortulus (1981 QN),2.246,0.2025,4.42,13.55,3.968,0.41,MBA,1951-11-30
 42338 (2001 YT80),3.005,0.0948,4.44,15.02,3.184,0.23,MBA,1992-02-09
  9774 Annjudge (1993 NO),2.535,0.123,0.53,14.2,3.547,0.387,MBA,1990-11-12
  5064 Tanchozuru (1990 FS),2.253,0.1852,6.56,13.45,4.828,0.436,MBA,1970-05-08
  4746 Doi (1989 TP1),3.213,0.1756,0.89,12.33,21.925,0.089,OMB,1972-11-09
 91710 (1999 TZ149),3.15,0.0128,15.21,14.28,7.556,0.085,MBA,1999-10-02
 99167 (2001 FX151),3.395,0.1828,17.6,13.75,14.161,0.042,OMB,1998-11-14
398218 (2010 OZ32),3.036,0.1578,8.23,16.54,3.347,0.043,MBA,2005-10-27
 15945 Raymondavid (1998 AZ5),3.155,0.1421,4.83,13.71,10.477,0.063,MBA,1993-03-21
179016 (2001 RA67),2.808,0.2426,6.71,15.95,4.611,0.057,MBA,1996-08-08
238779 (2005 JF139),2.994,0.2331,12.83,15.74,2.248,0.201,MBA,1996-10-11
440652 (2005 WE178),3.16,0.288,28.17,15.59,4.684,0.029,MBA,2004-07-21
 39276 (2001 AT39),2.921,0.355,12.55,14.12,8.964,0.049,MBA,1998-03-24
       (2010 NU44),2.744,0.2209,8.21,17.35,3.295,0.135,MBA,2001-05-17
 84917 (2003 UX259),2.336,0.2296,3.2,16.14,1.664,0.279,MBA,1994-03-13
138845 (2000 VV57),2.654,0.2506,7.9,15.52,4.505,0.072,MBA,2000-11-03
222274 (2000 RE83),2.636,0.0664,11.09,15.9,2.375,0.198,MBA,2000-09-01
158013 (2000 QW148),2.385,0.1589,24.4,15.97,2.174,0.149,MBA,2000-06-06
196731 (2003 SP121),2.963,0.0504,4.29,16.36,4.101,0.029,MBA,2003-09-17
223219 (2003 CH9),2.391,0.205,4.68,17.39,2.298,0.048,MBA,1992-03-03
 61371 (2000 PO23),2.421,0.0779,5.11,15.43,2.339,0.155,MBA,1999-03-22
 60057 (1999 TZ117),3.104,0.134,13.2,13.49,12.358,0.045,MBA,1991-02-13
 18139 (2000 OF37),3.013,0.0854,9.29,13.57,6.662,0.12,MBA,1995-08-25
353166 (2009 JP6),3.163,0.0952,10.18,16.04,4.209,0.048,MBA,2008-02-09
       (2010 LN124),3.161,0.1304,17.32,16.18,3.38,0.068,MBA,2007-11-03
135012 (2001 KX12),2.759,0.1882,8.85,15.52,4.038,0.108,MBA,2001-05-18
 19544 Avramkottke (1999 JN33),2.395,0.1954,2.71,14.56,3.829,0.357,MBA,1996-09-15
168451 (1999 CG43),3.038,0.1724,2.65,15.4,2.944,0.204,MBA,1999-02-10
 29006 (3091 P-L),2.944,0.0997,9.73,13.73,4.718,0.24,MBA,1960-09-24
207856 (2007 VM52),2.985,0.1125,3.53,16.46,2.938,0.062,MBA,2005-05-14
247128 (2000 VO18),3.058,0.2426,11.92,15.76,4.19,0.076,MBA,2000-10-24
496837 (1998 SB15),1.226,0.1615,15.63,20.83,0.337,0.062,AMO,1998-09-21
  6749 Ireentje (7068 P-L),2.681,0.2515,8.29,13.97,4.891,0.244,MBA,1960-10-17
105949 (2000 SE242),3.001,0.3362,9.31,15.13,3.133,0.18,MBA,1994-04-06
 24217 Paulroeder (1999 XO70),2.706,0.1284,3.22,14.87,4.002,0.192,MBA,1981-10-30
 97021 (1999 TJ279),2.655,0.0381,14.13,14.74,3.138,0.342,MBA,1999-10-07
124364 (2001 QB138),2.35,0.2583,4.52,16.58,3.219,0.062,MBA,1997-06-28
519125 (2010 MD46),2.621,0.2891,11.8,17.53,1.519,0.092,MBA,2009-03-21
       (2010 LH89),3.122,0.0631,16.67,16.48,3.825,0.053,MBA,2007-10-20
 10470 Bartczak (1981 EW18),2.341,0.1345,6.62,15.31,2.098,0.44,MBA,1981-02-02
 18184 Dianepark (2000 QR37),2.579,0.069,2.11,14.84,3.414,0.24,MBA,1988-11-03
       (2010 AM),3.001,0.085,15.27,16.46,4.612,0.03,MBA,2010-01-04
165614 (2001 FC96),2.668,0.209,13.78,15.93,3.834,0.069,MBA,2001-01-21
 57333 (2001 QX246),2.627,0.1936,13.46,14.86,6.413,0.075,MBA,1995-07-22
372145 (2008 SR265),3.04,0.1143,4.68,16.56,3.864,0.03,MBA,2003-10-29
323601 (2004 TM327),3.22,0.2159,24.74,15.92,4.128,0.041,OMB,1998-09-19
112436 (2002 OG1),3.082,0.1789,8.69,14.35,4.838,0.208,MBA,2000-04-07
 51243 (2000 JG38),3.164,0.0996,5.01,14.68,6.325,0.064,MBA,1996-10-05
181256 (2005 UD359),3.971,0.111,4.1,14.21,11.977,0.028,OMB,1992-02-01
 97401 (2000 AK124),3.145,0.0347,23.19,13.87,10.605,0.069,MBA,1999-12-15
 81432 (2000 GL107),2.779,0.1074,8.92,14.76,3.231,0.245,MBA,2000-04-05
242520 (2005 AS7),2.779,0.1474,8.71,16.14,3.293,0.071,MBA,2003-09-30
 10249 Harz (9515 P-L),2.577,0.0934,3.64,14.6,3.592,0.261,MBA,1960-10-17
432911 (2011 QL42),3.144,0.152,12.22,16.18,4.344,0.103,MBA,2009-02-03
 13308 Melissamayne (1998 RL59),2.802,0.0814,3.44,14.09,3.917,0.317,MBA,1951-09-04
 93878 (2000 WK128),2.722,0.0624,3.93,15.61,3.779,0.094,MBA,1991-11-11
167530 (2003 YV153),3.022,0.0526,12.55,15.14,6.217,0.055,MBA,2002-10-04
434678 Curlin (2006 BE8),2.604,0.1465,5.43,17.61,2.205,0.033,MBA,2002-03-10
  8904 Yoshihara (1995 VY),2.571,0.2636,3.79,13.75,4.7,0.349,MBA,1958-12-03
 22540 Mork (1998 FZ67),2.873,0.0364,2.22,14.34,3.599,0.343,MBA,1993-03-19
 78396 (2002 QW1),3.218,0.1211,6.32,15.3,5.724,0.054,OMB,1991-10-10
 11267 Donaldkessler (1981 UE28),2.783,0.0789,3.91,14.02,11.087,0.048,MBA,1981-10-24
349864 (2009 DQ50),2.962,0.0923,10.91,15.91,2.938,0.107,MBA,2007-12-30
297080 (2010 KV3),2.564,0.2394,11.84,16.49,2.713,0.066,MBA,2001-03-21
 91122 (1998 HE112),2.638,0.2287,13.76,14.88,2.779,0.436,MBA,1998-04-23
 22056 (2000 AU31),5.157,0.1461,7.19,11.92,24.775,0.066,TJN,1986-11-05
211799 (2004 CL120),3.064,0.1033,11.51,15.71,2.909,0.1,MBA,1995-07-02
 38754 (2000 QG217),2.279,0.1027,6.21,15.45,1.782,0.32,MBA,1971-03-24
169258 (2001 SH157),3.167,0.1873,5.57,15.28,5.598,0.062,MBA,1995-07-25
 55053 (2001 QV68),2.699,0.1498,4.96,14.81,3.45,0.196,MBA,1991-05-14
218017 (2001 XV266),1.196,0.1927,12.0,19.82,0.451,0.115,APO,2001-12-09
174065 (2002 EH4),3.234,0.0926,0.23,15.36,4.867,0.068,OMB,2002-02-11
 49629 (1999 GF20),3.087,0.09,12.3,13.46,7.382,0.182,MBA,1983-05-07
